time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2021-08-11T09:04:22.80Z,46.5781333,7.9940468,3221.401,0.80,0.84,-0.25,17.966,15.396,0.73,46.49818,29.53296,3,5
2021-08-11T09:04:23.00Z,46.5781336,7.9940660,3220.640,0.26,0.37,-0.23,10.796,9.611,0.63,46.49818,29.53486,3,7
2021-08-11T09:04:23.60Z,46.5781314,7.9940755,3218.700,-0.04,-0.04,0.20,10.292,9.922,0.71,62.15493,42.20380,3,8
2021-08-11T09:04:23.80Z,46.5781297,7.9940773,3218.966,-0.12,-0.09,0.23,9.844,9.448,0.82,62.15493,42.20555,3,9
2021-08-11T09:04:24.00Z,46.5781344,7.9940772,3218.982,-0.06,0.19,0.51,9.057,8.483,0.67,62.15493,42.20697,3,9
2021-08-11T09:04:24.20Z,46.5781277,7.9940607,3217.867,0.04,0.05,0.30,8.436,7.983,0.63,62.15493,42.20831,3,9
2021-08-11T09:04:24.40Z,46.5781144,7.9940453,3216.910,-0.03,0.40,0.40,7.795,7.606,0.67,62.15493,42.20974,3,9
2021-08-11T09:04:24.60Z,46.5781108,7.9940487,3215.565,0.28,0.34,0.29,7.270,7.239,0.58,56.33283,42.10725,3,9
2021-08-11T09:04:24.80Z,46.5781125,7.9940523,3215.526,0.22,0.24,0.29,6.892,6.944,0.55,56.33283,42.10842,3,9
2021-08-11T09:04:25.00Z,46.5781148,7.9940580,3215.437,-0.16,0.04,0.32,6.561,6.686,0.56,56.33283,42.10963,3,10
2021-08-11T09:04:25.20Z,46.5781150,7.9940633,3215.018,-0.10,-0.03,0.56,6.219,6.553,0.62,56.33283,42.11095,3,10
2021-08-11T09:04:25.40Z,46.5781160,7.9940646,3215.033,-0.14,0.17,0.34,5.915,6.399,0.53,56.33283,42.11209,3,10
2021-08-11T09:04:25.60Z,46.5781167,7.9940662,3215.259,-0.07,0.44,0.36,5.690,6.265,0.51,56.33283,42.11331,3,10
2021-08-11T09:04:25.80Z,46.5781190,7.9940677,3215.382,0.08,0.22,0.14,5.367,6.124,0.49,56.33283,42.11436,3,10
2021-08-11T09:04:26.00Z,46.5781195,7.9940729,3215.132,-0.06,0.58,0.24,5.079,6.042,0.43,74.75549,44.88926,3,10
2021-08-11T09:04:26.20Z,46.5781200,7.9940775,3215.049,-0.05,0.44,0.17,4.855,5.865,0.45,74.75549,44.89022,3,10
2021-08-11T09:04:26.40Z,46.5781203,7.9940841,3214.807,-0.41,0.20,0.09,4.494,5.780,0.27,74.75549,44.89114,3,10
2021-08-11T09:04:26.60Z,46.5781206,7.9940889,3214.396,-0.57,0.41,0.11,4.240,5.700,0.35,119.44694,33.52685,3,10
2021-08-11T09:04:26.80Z,46.5781213,7.9940941,3214.197,-0.14,0.33,0.34,4.083,5.667,0.55,119.44694,33.52832,3,9
2021-08-11T09:04:27.00Z,46.5781209,7.9940943,3214.399,0.06,0.20,0.46,3.972,5.564,0.56,119.44694,33.52983,3,10
2021-08-11T09:04:27.20Z,46.5781183,7.9940939,3214.501,-0.13,0.31,0.25,3.515,5.497,0.62,119.44694,33.53150,3,10
2021-08-11T09:04:27.40Z,46.5781145,7.9940878,3214.870,0.07,0.21,0.21,3.174,5.436,0.56,119.44694,33.53300,3,10
2021-08-11T09:04:27.60Z,46.5781115,7.9940810,3215.159,0.23,0.15,0.37,2.939,5.374,0.52,119.44694,33.53439,3,9
2021-08-11T09:04:27.80Z,46.5781094,7.9940756,3215.286,-0.03,0.09,0.26,2.768,5.315,0.58,119.44694,33.53594,3,10
2021-08-11T09:04:28.00Z,46.5781075,7.9940728,3215.195,0.03,0.07,0.31,2.634,5.249,0.56,119.44694,33.53744,3,10
2021-08-11T09:04:28.20Z,46.5781060,7.9940723,3215.136,-0.01,0.09,0.37,2.529,5.188,0.56,119.44694,33.53893,3,10
2021-08-11T09:04:28.40Z,46.5781049,7.9940704,3215.048,0.02,0.13,0.32,2.447,5.125,0.55,119.44694,33.54041,3,10
2021-08-11T09:04:28.60Z,46.5781046,7.9940709,3214.800,-0.09,0.08,0.35,2.383,5.067,0.53,119.44694,33.54183,3,10
2021-08-11T09:04:28.80Z,46.5781046,7.9940717,3214.654,0.03,0.09,0.35,2.326,5.020,0.53,119.44694,33.54324,3,10
2021-08-11T09:04:29.00Z,46.5781046,7.9940738,3214.377,-0.01,0.01,0.32,2.271,4.961,0.49,119.44694,33.54455,3,10
2021-08-11T09:04:29.20Z,46.5781043,7.9940743,3214.425,0.03,0.11,0.24,2.226,4.893,0.50,119.44694,33.54590,3,10
2021-08-11T09:04:29.40Z,46.5781044,7.9940758,3214.645,0.06,0.03,0.21,2.190,4.827,0.48,119.44694,33.54719,3,10
2021-08-11T09:04:29.60Z,46.5781043,7.9940775,3214.721,-0.04,0.07,0.21,2.159,4.773,0.50,119.44694,33.54853,3,10
2021-08-11T09:04:29.80Z,46.5781038,7.9940795,3214.531,0.03,0.08,0.21,2.131,4.730,0.50,119.44694,33.54988,3,10
2021-08-11T09:04:30.00Z,46.5781035,7.9940810,3214.419,-0.08,-0.10,0.41,2.105,4.683,0.42,119.44694,33.55102,3,10
2021-08-11T09:04:30.20Z,46.5781027,7.9940808,3214.403,-0.01,-0.22,0.46,2.077,4.664,0.39,119.44694,33.55239,3,10
2021-08-11T09:04:30.40Z,46.5781018,7.9940798,3214.277,-0.01,-0.22,0.64,2.054,4.652,0.42,119.44694,33.55421,3,10
2021-08-11T09:04:30.60Z,46.5781013,7.9940789,3214.131,0.20,-0.35,0.39,2.029,4.602,0.39,41.27205,38.23368,3,10
2021-08-11T09:04:30.80Z,46.5781008,7.9940787,3213.952,-0.05,0.02,0.43,2.009,4.547,0.48,41.27205,38.23480,3,10
2021-08-11T09:04:31.00Z,46.5780998,7.9940793,3213.866,-0.07,0.23,0.29,1.983,4.485,0.50,41.27205,38.23597,3,10
2021-08-11T09:04:31.20Z,46.5780992,7.9940802,3213.762,-0.04,0.59,0.05,1.975,4.450,0.45,41.27205,38.23737,3,10
2021-08-11T09:04:31.40Z,46.5780985,7.9940831,3213.696,0.21,0.20,-0.24,1.952,4.420,0.30,41.27205,38.23825,3,10
2021-08-11T09:04:31.60Z,46.5780986,7.9940822,3214.192,0.05,0.27,-0.24,1.928,4.376,0.28,41.27205,38.23911,3,10
2021-08-11T09:04:31.80Z,46.5780990,7.9940812,3214.680,0.42,0.33,0.04,1.906,4.332,0.26,39.83214,41.82139,3,10
2021-08-11T09:04:32.00Z,46.5780990,7.9940799,3215.220,-0.05,-0.09,-0.12,1.879,4.231,0.46,39.83214,41.82237,3,10
2021-08-11T09:04:32.20Z,46.5780985,7.9940796,3215.337,0.06,-0.04,0.11,1.866,4.186,0.43,39.83214,41.82330,3,10
2021-08-11T09:04:32.40Z,46.5780986,7.9940782,3215.782,-0.06,-0.17,0.26,1.853,4.139,0.34,39.83214,41.82403,3,9
2021-08-11T09:04:32.60Z,46.5780992,7.9940753,3216.633,-0.04,-0.14,0.32,1.834,4.098,0.37,39.83214,41.82483,3,10
2021-08-11T09:04:32.80Z,46.5780998,7.9940745,3217.040,0.12,-0.41,0.23,1.810,4.061,0.29,332.21753,34.38564,3,10
2021-08-11T09:04:33.00Z,46.5781010,7.9940752,3217.063,-0.07,-0.45,0.24,1.762,3.959,0.32,332.21753,34.38699,3,10
2021-08-11T09:04:33.20Z,46.5781008,7.9940753,3217.094,0.07,0.06,0.26,1.740,3.912,0.44,332.21753,34.38814,3,10
2021-08-11T09:04:33.40Z,46.5781009,7.9940754,3217.329,0.18,0.20,0.29,1.726,3.889,0.40,332.21753,34.38919,3,10
2021-08-11T09:04:33.60Z,46.5781009,7.9940758,3217.394,-0.06,0.07,0.07,1.713,3.877,0.34,332.21753,34.39008,3,9
2021-08-11T09:04:33.80Z,46.5781001,7.9940756,3217.523,0.02,0.15,0.10,1.701,3.851,0.39,332.21753,34.39110,3,10
2021-08-11T09:04:34.00Z,46.5781005,7.9940742,3217.660,-0.05,-0.06,0.22,1.693,3.823,0.44,332.21753,34.39226,3,10
2021-08-11T09:04:34.20Z,46.5781010,7.9940725,3217.873,-0.10,0.09,0.23,1.683,3.776,0.43,332.21753,34.39340,3,10
2021-08-11T09:04:34.40Z,46.5781001,7.9940715,3218.093,-0.12,-0.05,0.14,1.665,3.701,0.34,332.21753,34.39430,3,10
2021-08-11T09:04:34.60Z,46.5780990,7.9940733,3217.712,-0.02,0.11,0.11,1.619,3.602,0.36,332.21753,34.39523,3,10
2021-08-11T09:04:34.80Z,46.5780985,7.9940752,3217.104,0.01,0.10,0.12,1.577,3.512,0.40,332.21753,34.39629,3,10
2021-08-11T09:04:35.00Z,46.5780989,7.9940774,3216.413,0.08,-0.18,0.27,1.541,3.432,0.39,332.21753,34.39731,3,10
2021-08-11T09:04:35.20Z,46.5780992,7.9940779,3216.091,0.12,-0.23,0.32,1.510,3.376,0.39,332.21753,34.39839,3,9
2021-08-11T09:04:35.40Z,46.5780985,7.9940759,3216.334,-0.07,-0.01,0.20,1.481,3.327,0.41,332.21753,34.39948,3,10
2021-08-11T09:04:35.60Z,46.5780981,7.9940770,3216.114,-0.01,0.10,0.17,1.453,3.284,0.41,332.21753,34.40056,3,10
2021-08-11T09:04:35.80Z,46.5780976,7.9940774,3216.052,-0.05,0.06,0.05,1.427,3.244,0.34,332.21753,34.40145,3,10
2021-08-11T09:04:36.00Z,46.5780971,7.9940787,3215.801,-0.02,0.15,0.07,1.403,3.199,0.31,332.21753,34.40226,3,10
2021-08-11T09:04:36.20Z,46.5780968,7.9940803,3215.487,-0.01,0.15,0.11,1.381,3.162,0.35,332.21753,34.40318,3,9
2021-08-11T09:04:36.40Z,46.5780963,7.9940812,3215.182,0.20,-0.05,0.12,1.373,3.143,0.39,332.21753,34.40419,3,9
2021-08-11T09:04:36.60Z,46.5780959,7.9940813,3214.766,0.03,-0.09,0.27,1.369,3.116,0.41,332.21753,34.40528,3,9
2021-08-11T09:04:36.80Z,46.5780962,7.9940818,3214.527,0.73,0.02,0.76,1.374,3.101,0.43,345.72942,37.22070,3,10
2021-08-11T09:04:37.00Z,46.5780965,7.9940821,3214.389,0.10,0.23,0.02,1.380,3.079,0.38,345.72942,37.22163,3,10
2021-08-11T09:04:37.20Z,46.5780960,7.9940814,3214.300,-0.45,-0.64,0.60,1.386,3.080,0.55,290.23006,37.25283,3,10
2021-08-11T09:04:37.40Z,46.5780956,7.9940799,3214.270,0.01,-0.28,0.45,1.398,3.057,0.58,290.23006,37.25424,3,10
2021-08-11T09:04:37.60Z,46.5780955,7.9940801,3214.262,0.14,0.52,0.06,1.407,3.038,0.39,290.23006,37.25554,3,10
2021-08-11T09:04:37.80Z,46.5780955,7.9940812,3214.332,0.08,0.12,-0.23,1.412,3.020,0.36,290.23006,37.25640,3,10
2021-08-11T09:04:38.00Z,46.5780949,7.9940805,3214.365,-0.26,-0.90,-0.28,1.415,2.991,0.43,265.10808,25.16570,3,10
2021-08-11T09:04:38.20Z,46.5780948,7.9940793,3214.255,0.29,-0.10,-0.03,1.419,2.957,0.36,265.10808,25.16699,3,10
2021-08-11T09:04:38.40Z,46.5780954,7.9940802,3213.860,0.43,-0.01,-0.05,1.419,2.917,0.24,265.10808,25.16855,3,10
2021-08-11T09:04:38.60Z,46.5780962,7.9940785,3214.032,-0.08,-0.44,-0.16,1.422,2.888,0.56,265.10808,25.17054,3,10
2021-08-11T09:04:38.80Z,46.5780961,7.9940788,3213.940,0.20,0.09,0.10,1.436,2.896,0.75,265.10808,25.17323,3,10
2021-08-11T09:04:39.00Z,46.5780962,7.9940793,3213.803,-0.04,0.17,-0.20,1.451,2.876,0.57,265.10808,25.17525,3,9
2021-08-11T09:04:39.20Z,46.5780960,7.9940795,3213.792,-0.33,0.13,0.11,1.466,2.880,0.55,265.10808,25.17723,3,10
2021-08-11T09:04:39.40Z,46.5780970,7.9940805,3213.687,0.41,0.18,0.01,1.476,2.889,0.64,265.10808,25.17953,3,10
2021-08-11T09:04:39.60Z,46.5780978,7.9940828,3213.531,0.05,0.35,0.18,1.489,2.889,0.49,265.10808,25.18129,3,10
2021-08-11T09:04:39.80Z,46.5780992,7.9940821,3213.722,0.59,-0.11,-0.09,1.488,2.850,0.40,291.84191,36.82312,3,10
2021-08-11T09:04:40.00Z,46.5781004,7.9940820,3213.744,0.09,-0.07,0.32,1.499,2.846,0.56,291.84191,36.82448,3,10
2021-08-11T09:04:40.20Z,46.5781009,7.9940839,3213.520,-0.31,0.29,1.08,1.500,2.842,0.56,221.77581,40.57954,3,10
2021-08-11T09:04:40.40Z,46.5781006,7.9940845,3213.428,-0.04,0.03,0.64,1.509,2.852,0.62,221.77581,40.58095,3,10
2021-08-11T09:04:40.60Z,46.5781007,7.9940867,3213.093,-0.17,0.61,0.86,1.522,2.854,0.64,151.62685,32.99181,3,9
2021-08-11T09:04:40.80Z,46.5781003,7.9940872,3213.001,0.09,0.20,0.50,1.528,2.844,0.60,151.62685,32.99345,3,10
2021-08-11T09:04:41.00Z,46.5780998,7.9940892,3212.570,0.03,0.23,0.61,1.525,2.822,0.56,151.62685,32.99523,3,10
2021-08-11T09:04:41.20Z,46.5780987,7.9940898,3212.340,-0.18,0.02,0.28,1.519,2.786,0.44,151.62685,32.99642,3,10
2021-08-11T09:04:41.40Z,46.5780982,7.9940903,3211.960,0.01,0.09,0.24,1.500,2.736,0.47,151.62685,32.99771,3,10
2021-08-11T09:04:41.60Z,46.5780977,7.9940906,3211.679,0.35,-0.01,0.21,1.487,2.709,0.40,151.62685,32.99882,3,10
2021-08-11T09:04:41.80Z,46.5780972,7.9940917,3211.407,0.06,-0.33,-0.19,1.480,2.694,0.38,151.62685,32.99988,3,10
2021-08-11T09:04:42.00Z,46.5780964,7.9940902,3211.586,-0.18,-0.22,-0.70,1.475,2.662,0.45,151.62685,33.00193,3,10
2021-08-11T09:04:42.20Z,46.5780963,7.9940909,3211.322,-0.15,-0.35,-0.22,1.474,2.626,0.60,151.62685,33.00357,3,10
2021-08-11T09:04:42.40Z,46.5780957,7.9940906,3211.256,-0.12,-0.28,-0.18,1.472,2.585,0.46,187.90581,42.12952,3,10
2021-08-11T09:04:42.60Z,46.5780957,7.9940892,3211.124,0.33,-0.76,0.05,1.472,2.575,0.38,270.70384,22.14243,3,10
2021-08-11T09:04:42.80Z,46.5780960,7.9940884,3211.153,0.24,-0.12,-0.70,1.476,2.569,0.49,270.70384,22.14550,3,10
2021-08-11T09:04:43.00Z,46.5780966,7.9940902,3210.853,0.53,0.77,0.46,1.485,2.570,0.54,331.09856,26.18683,3,10
2021-08-11T09:04:43.20Z,46.5780965,7.9940889,3211.002,-0.11,-0.27,0.03,1.487,2.565,0.48,331.09856,26.18846,3,10
2021-08-11T09:04:43.40Z,46.5780969,7.9940878,3211.155,0.24,-0.04,0.15,1.491,2.566,0.52,331.09856,26.19027,3,10
2021-08-11T09:04:43.60Z,46.5780969,7.9940855,3211.300,-0.16,-0.32,-0.29,1.487,2.532,0.50,308.09497,44.24380,3,10
2021-08-11T09:04:43.80Z,46.5780979,7.9940854,3211.167,0.02,-0.26,-0.16,1.484,2.501,0.46,308.09497,44.24474,3,10
2021-08-11T09:04:44.00Z,46.5780997,7.9940839,3211.217,0.07,-0.29,-0.27,1.480,2.469,0.45,308.09497,44.24566,3,10
2021-08-11T09:04:44.20Z,46.5781011,7.9940815,3211.516,-0.05,-0.18,0.03,1.476,2.435,0.40,308.09497,44.24647,3,10
2021-08-11T09:04:44.40Z,46.5781027,7.9940791,3211.839,-0.06,0.07,-0.23,1.472,2.400,0.39,308.09497,44.24726,3,10
2021-08-11T09:04:44.60Z,46.5781051,7.9940785,3212.011,0.25,0.38,-0.02,1.468,2.374,0.42,25.61016,28.05898,3,10
2021-08-11T09:04:44.80Z,46.5781055,7.9940806,3211.981,-0.15,0.89,0.18,1.476,2.379,0.45,52.63910,37.05756,3,10
2021-08-11T09:04:45.00Z,46.5781061,7.9940817,3211.880,-0.12,0.01,1.21,1.485,2.387,0.67,52.63910,37.06052,3,10
2021-08-11T09:04:45.20Z,46.5781064,7.9940850,3211.578,0.25,1.35,0.61,1.495,2.379,0.64,77.37436,11.31650,3,10
2021-08-11T09:04:45.40Z,46.5781069,7.9940873,3211.525,0.56,0.86,0.45,1.500,2.365,0.56,71.14343,17.26710,3,10
2021-08-11T09:04:45.60Z,46.5781073,7.9940865,3211.683,0.22,-0.17,0.40,1.506,2.363,0.62,71.14343,17.27032,3,10
2021-08-11T09:04:45.80Z,46.5781075,7.9940856,3211.761,0.10,-0.09,0.35,1.513,2.367,0.70,71.14343,17.27399,3,10
2021-08-11T09:04:46.00Z,46.5781080,7.9940853,3211.754,0.30,0.01,0.46,1.517,2.361,0.62,71.14343,17.27723,3,10
2021-08-11T09:04:46.20Z,46.5781085,7.9940849,3211.752,0.11,-0.26,0.28,1.513,2.350,0.56,71.14343,17.28013,3,10
2021-08-11T09:04:46.40Z,46.5781090,7.9940843,3211.747,-0.04,-0.22,0.21,1.505,2.339,0.43,71.14343,17.28238,3,10
2021-08-11T09:04:46.60Z,46.5781093,7.9940830,3212.023,0.16,-0.06,-0.05,1.498,2.310,0.27,71.14343,17.28381,3,10
2021-08-11T09:04:46.80Z,46.5781103,7.9940818,3212.372,0.27,-0.11,-0.06,1.499,2.299,0.30,71.14343,17.28539,3,10
2021-08-11T09:04:47.00Z,46.5781109,7.9940802,3212.580,0.17,-0.34,-0.17,1.501,2.292,0.43,71.14343,17.28764,3,10
2021-08-11T09:04:47.20Z,46.5781117,7.9940793,3212.886,0.19,-0.02,-0.24,1.502,2.258,0.36,71.14343,17.28949,3,10
2021-08-11T09:04:47.40Z,46.5781126,7.9940773,3213.164,-0.10,-0.48,-0.22,1.507,2.236,0.55,40.20407,36.97695,3,10
2021-08-11T09:04:47.60Z,46.5781137,7.9940755,3213.332,0.24,-0.64,0.02,1.513,2.236,0.49,333.46511,29.53349,3,10
2021-08-11T09:04:47.80Z,46.5781153,7.9940738,3213.701,0.16,-0.22,-0.08,1.521,2.223,0.43,333.46511,29.53480,3,10
2021-08-11T09:04:48.00Z,46.5781169,7.9940721,3214.003,0.31,-0.51,-0.01,1.523,2.193,0.37,333.46511,29.53662,3,10
2021-08-11T09:04:48.20Z,46.5781190,7.9940716,3214.130,0.05,-0.23,0.16,1.520,2.176,0.37,333.46511,29.53774,3,10
2021-08-11T09:04:48.40Z,46.5781202,7.9940697,3214.507,0.23,-0.15,0.06,1.518,2.137,0.23,333.46511,29.53860,3,10
2021-08-11T09:04:48.60Z,46.5781215,7.9940696,3214.604,0.17,0.11,0.04,1.514,2.101,0.37,333.46511,29.53973,3,10
2021-08-11T09:04:48.80Z,46.5781227,7.9940703,3214.619,0.36,0.19,0.10,1.511,2.078,0.40,349.91606,44.98035,3,10
2021-08-11T09:04:49.00Z,46.5781243,7.9940700,3214.777,0.22,0.19,-0.20,1.516,2.059,0.32,349.91606,44.98107,3,10
2021-08-11T09:04:49.20Z,46.5781251,7.9940692,3214.911,0.04,-0.07,-0.05,1.518,2.032,0.39,349.91606,44.98184,3,9
2021-08-11T09:04:49.40Z,46.5781255,7.9940689,3214.982,-0.10,-0.01,-0.05,1.520,2.007,0.40,349.91606,44.98263,3,9
2021-08-11T09:04:49.60Z,46.5781261,7.9940683,3215.119,-0.03,0.01,0.06,1.523,1.983,0.33,349.91606,44.98329,3,9
2021-08-11T09:04:49.80Z,46.5781266,7.9940683,3215.104,0.05,0.02,-0.02,1.527,1.963,0.25,349.91606,44.98379,3,8
2021-08-11T09:04:50.00Z,46.5781273,7.9940682,3215.175,-0.04,0.00,-0.02,1.533,1.945,0.35,349.91606,44.98448,3,8
2021-08-11T09:04:50.20Z,46.5781279,7.9940678,3215.300,-0.01,-0.07,0.02,1.539,1.928,0.34,349.91606,44.98516,3,8
2021-08-11T09:04:50.40Z,46.5781289,7.9940675,3215.324,-0.06,-0.06,-0.07,1.544,1.914,0.46,349.91606,44.98607,3,8
2021-08-11T09:04:50.60Z,46.5781299,7.9940674,3215.367,-0.03,0.04,-0.03,1.549,1.902,0.29,349.91606,44.98666,3,8
2021-08-11T09:04:50.80Z,46.5781309,7.9940675,3215.394,0.05,-0.04,-0.01,1.555,1.889,0.31,349.91606,44.98728,3,8
2021-08-11T09:04:51.00Z,46.5781316,7.9940670,3215.410,-0.01,0.05,-0.02,1.564,1.877,0.30,349.91606,44.98789,3,8
2021-08-11T09:04:51.20Z,46.5781317,7.9940669,3215.448,-0.21,-0.07,-0.01,1.576,1.872,0.62,349.91606,44.98913,3,8
2021-08-11T09:04:51.40Z,46.5781319,7.9940663,3215.462,-0.02,-0.14,0.00,1.589,1.867,0.43,349.91606,44.98998,3,8
2021-08-11T09:04:51.60Z,46.5781321,7.9940660,3215.461,0.05,-0.02,0.06,1.607,1.880,0.73,349.91606,44.99144,3,10
2021-08-11T09:04:51.80Z,46.5781323,7.9940664,3215.410,-0.05,0.06,0.10,1.630,1.896,0.49,349.91606,44.99241,3,10
2021-08-11T09:04:52.00Z,46.5781325,7.9940660,3215.469,0.05,0.09,-0.08,1.650,1.918,0.70,349.91606,44.99382,3,10
2021-08-11T09:04:52.20Z,46.5781325,7.9940667,3215.479,-0.35,0.28,-0.03,1.666,1.940,0.47,349.91606,44.99476,3,10
2021-08-11T09:04:52.40Z,46.5781334,7.9940678,3215.340,0.27,-0.28,0.12,1.672,1.958,0.43,349.91606,44.99563,3,10
2021-08-11T09:04:52.60Z,46.5781342,7.9940677,3215.394,0.10,0.15,0.18,1.672,1.962,0.49,349.91606,44.99661,3,10
2021-08-11T09:04:52.80Z,46.5781350,7.9940678,3215.419,-0.01,-0.15,-0.05,1.654,1.943,0.34,349.91606,44.99729,3,10
2021-08-11T09:04:53.00Z,46.5781351,7.9940677,3215.438,-0.40,-0.48,0.13,1.642,1.951,0.26,349.91606,44.99857,3,10
2021-08-11T09:04:53.20Z,46.5781354,7.9940677,3215.297,0.46,-0.28,0.20,1.650,1.975,0.55,349.91606,44.99971,3,10
2021-08-11T09:04:53.40Z,46.5781356,7.9940672,3215.246,-0.07,-0.35,0.37,1.654,1.990,0.47,349.91606,45.00074,3,10
2021-08-11T09:04:53.60Z,46.5781356,7.9940673,3215.124,-0.23,-0.01,0.28,1.654,1.994,0.41,349.91606,45.00156,3,10
2021-08-11T09:04:53.80Z,46.5781355,7.9940674,3215.226,-0.22,0.05,0.29,1.648,1.977,0.43,349.91606,45.00242,3,10
2021-08-11T09:04:54.00Z,46.5781359,7.9940699,3214.978,-0.23,0.02,0.10,1.623,1.940,0.41,349.91606,45.00323,3,10
2021-08-11T09:04:54.20Z,46.5781362,7.9940706,3215.119,0.16,0.10,0.07,1.609,1.911,0.41,349.91606,45.00405,3,10
2021-08-11T09:04:54.40Z,46.5781368,7.9940725,3215.178,-0.03,-0.01,-0.04,1.595,1.883,0.35,349.91606,45.00474,3,10
2021-08-11T09:04:54.60Z,46.5781375,7.9940732,3215.133,0.04,-0.01,-0.01,1.589,1.865,0.34,349.91606,45.00542,3,10
2021-08-11T09:04:54.80Z,46.5781382,7.9940738,3215.102,-0.04,-0.01,0.13,1.586,1.850,0.31,349.91606,45.00604,3,10
2021-08-11T09:04:55.00Z,46.5781388,7.9940741,3215.134,0.07,0.05,0.01,1.583,1.835,0.40,349.91606,45.00684,3,10
2021-08-11T09:04:55.20Z,46.5781394,7.9940748,3215.219,0.00,0.05,0.02,1.577,1.819,0.29,349.91606,45.00742,3,10
2021-08-11T09:04:55.40Z,46.5781401,7.9940756,3215.191,0.08,-0.01,0.06,1.568,1.800,0.35,349.91606,45.00811,3,10
2021-08-11T09:04:55.60Z,46.5781407,7.9940748,3215.309,-0.04,0.08,0.11,1.560,1.781,0.30,349.91606,45.00872,3,10
2021-08-11T09:04:55.80Z,46.5781413,7.9940747,3215.321,0.11,0.10,0.12,1.554,1.765,0.42,349.91606,45.00955,3,10
2021-08-11T09:04:56.00Z,46.5781419,7.9940741,3215.390,0.10,0.10,0.07,1.554,1.758,0.46,349.91606,45.01046,3,10
2021-08-11T09:04:56.20Z,46.5781421,7.9940740,3215.412,-0.04,0.01,0.04,1.557,1.752,0.41,349.91606,45.01128,3,10
2021-08-11T09:04:56.40Z,46.5781423,7.9940744,3215.443,-0.03,0.04,0.01,1.560,1.747,0.33,349.91606,45.01195,3,10
2021-08-11T09:04:56.60Z,46.5781425,7.9940749,3215.465,0.16,0.12,-0.11,1.559,1.738,0.51,349.91606,45.01298,3,10
2021-08-11T09:04:56.80Z,46.5781428,7.9940749,3215.518,0.17,0.11,-0.18,1.560,1.739,0.39,349.91606,45.01376,3,10
2021-08-11T09:04:57.00Z,46.5781425,7.9940754,3215.420,0.09,-0.19,0.06,1.556,1.738,0.35,349.91606,45.01446,3,10
2021-08-11T09:04:57.20Z,46.5781418,7.9940762,3215.250,-0.06,-0.09,0.16,1.547,1.737,0.33,349.91606,45.01512,3,10
2021-08-11T09:04:57.40Z,46.5781408,7.9940759,3215.208,0.08,-0.08,-0.05,1.528,1.722,0.26,349.91606,45.01564,3,10
2021-08-11T09:04:57.60Z,46.5781400,7.9940757,3215.182,-0.14,0.02,0.08,1.514,1.713,0.23,349.91606,45.01609,3,10
2021-08-11T09:04:57.80Z,46.5781402,7.9940764,3215.087,0.13,-0.13,-0.01,1.500,1.707,0.28,349.91606,45.01664,3,10
2021-08-11T09:04:58.00Z,46.5781413,7.9940763,3215.148,0.02,0.06,0.05,1.487,1.707,0.33,349.91606,45.01731,3,10
2021-08-11T09:04:58.20Z,46.5781426,7.9940757,3215.288,0.01,-0.08,-0.04,1.483,1.711,0.32,349.91606,45.01794,3,10
2021-08-11T09:04:58.40Z,46.5781435,7.9940753,3215.361,-0.11,-0.03,0.12,1.481,1.713,0.26,349.91606,45.01847,3,10
2021-08-11T09:04:58.60Z,46.5781445,7.9940752,3215.445,0.17,0.01,-0.05,1.471,1.709,0.22,349.91606,45.01890,3,10
2021-08-11T09:04:58.80Z,46.5781454,7.9940751,3215.505,-0.15,0.00,0.02,1.464,1.708,0.27,349.91606,45.01944,3,10
2021-08-11T09:04:59.00Z,46.5781458,7.9940748,3215.530,0.06,0.07,-0.03,1.461,1.702,0.42,349.91606,45.02027,3,10
2021-08-11T09:04:59.20Z,46.5781462,7.9940748,3215.535,-0.13,0.02,0.01,1.458,1.694,0.34,349.91606,45.02095,3,10
2021-08-11T09:04:59.40Z,46.5781462,7.9940739,3215.566,-0.02,-0.05,0.07,1.448,1.681,0.29,349.91606,45.02153,3,10
2021-08-11T09:04:59.60Z,46.5781464,7.9940733,3215.590,0.10,0.06,0.05,1.445,1.675,0.40,349.91606,45.02233,3,10
2021-08-11T09:04:59.80Z,46.5781462,7.9940729,3215.608,-0.10,0.17,0.04,1.444,1.675,0.29,349.91606,45.02291,3,10
2021-08-11T09:05:00.00Z,46.5781456,7.9940719,3215.681,-0.14,-0.23,-0.16,1.442,1.668,0.38,349.91606,45.02368,3,10
2021-08-11T09:05:00.20Z,46.5781454,7.9940713,3215.650,-0.03,0.07,0.07,1.440,1.661,0.30,349.91606,45.02427,3,10
2021-08-11T09:05:00.40Z,46.5781450,7.9940702,3215.678,0.00,0.02,0.00,1.435,1.651,0.29,349.91606,45.02486,3,10
2021-08-11T09:05:00.60Z,46.5781439,7.9940688,3215.694,0.02,0.04,0.05,1.428,1.647,0.33,349.91606,45.02553,3,10
2021-08-11T09:05:00.80Z,46.5781429,7.9940679,3215.660,0.05,-0.08,-0.01,1.419,1.639,0.25,349.91606,45.02602,3,10
